,Unnamed: 0,COD,DO,EC,NO3,N2,TSS,TEMP,PH
0,0,"((1, 0, 0), (2, 2, 0, 12), 64.98185939177296)","((1, 1, 1), (2, 2, 0, 12), 55.4344148724474)","((0, 2, 1), (1, 2, 1, 12), 9.481481481481481)","((0, 0, 0), (1, 0, 1, 12), 1.420508353356885)","((2, 1, 1), (0, 2, 1, 12), 12.222222222222221)","((1, 2, 1), (0, 2, 1, 12), 9.481481481481481)","((0, 1, 1), (0, 2, 2, 12), 63.10911786562362)","((0, 1, 2), (1, 2, 2, 12), 24.08852691785097)"
1,1,"((0, 0, 0), (0, 2, 2, 12), 65.39626702873508)","((2, 0, 2), (2, 2, 0, 12), 55.695987034213644)","((0, 2, 1), (2, 2, 1, 12), 13.75)","((0, 0, 0), (0, 1, 1, 12), 1.9358363925431865)","((2, 1, 1), (1, 2, 1, 12), 15.23076923076923)","((0, 2, 2), (0, 2, 1, 12), 9.538461538461538)","((0, 2, 2), (0, 2, 2, 12), 64.09795624390058)","((1, 1, 2), (0, 1, 2, 12), 28.45467216403275)"
2,2,"((1, 0, 2), (0, 2, 2, 12), 65.90055159478325)","((0, 1, 1), (0, 2, 2, 12), 56.00504888132679)","((0, 2, 2), (0, 2, 2, 12), 222.94364387754553)","((0, 0, 0), (1, 1, 0, 12), 1.9393466300294468)","((2, 0, 1), (2, 2, 1, 12), 22.0)","((2, 0, 1), (0, 2, 1, 12), 12.142857142857142)","((0, 1, 2), (0, 2, 2, 12), 64.88416645907614)","((1, 1, 2), (1, 2, 2, 12), 29.840891652114607)"
3,3,"((0, 0, 0), (2, 2, 0, 12), 66.71390979706099)","((2, 0, 1), (2, 2, 0, 12), 56.04649298630886)","((1, 2, 2), (0, 2, 2, 12), 223.20608994385657)","((1, 0, 0), (1, 0, 1, 12), 3.4504814996238844)","((2, 1, 1), (2, 2, 1, 12), 22.615384615384617)","((1, 2, 2), (0, 2, 1, 12), 12.4)","((1, 1, 0), (0, 2, 2, 12), 66.26319161515828)","((0, 2, 2), (0, 1, 2, 12), 32.08182930692038)"
4,4,"((0, 0, 0), (1, 2, 2, 12), 66.77326921039173)","((0, 0, 2), (0, 2, 2, 12), 56.954598582291496)","((0, 2, 2), (1, 2, 2, 12), 226.51692322024502)","((0, 0, 0), (1, 1, 1, 12), 3.482422056492399)","((0, 0, 1), (0, 2, 2, 12), 52.90695720053328)","((2, 0, 1), (1, 2, 1, 12), 15.11111111111111)","((1, 1, 1), (0, 2, 2, 12), 66.60741600857851)","((0, 1, 1), (0, 1, 2, 12), 32.25826347766892)"
5,5,"((2, 0, 0), (2, 2, 0, 12), 66.84325549028165)","((2, 0, 2), (0, 2, 2, 12), 56.956278864165384)","((1, 2, 2), (1, 2, 2, 12), 227.49329755039267)","((1, 0, 0), (1, 1, 0, 12), 3.51637232795486)","((0, 0, 0), (0, 2, 2, 12), 52.96767014137002)","((1, 2, 2), (1, 2, 1, 12), 15.5)","((0, 1, 1), (1, 2, 2, 12), 66.60927138468017)","((2, 2, 2), (0, 0, 2, 12), 32.3293096311576)"
6,6,"((0, 0, 1), (0, 2, 2, 12), 66.9326894023843)","((1, 1, 1), (1, 2, 2, 12), 57.26319237076066)","((2, 2, 2), (0, 2, 2, 12), 228.32919276800064)","((0, 0, 1), (1, 1, 0, 12), 3.5994007115106923)","((0, 0, 0), (2, 2, 0, 12), 53.17940831689693)","((2, 0, 1), (2, 2, 1, 12), 22.0)","((1, 1, 0), (2, 2, 0, 12), 66.80188161674499)","((0, 1, 1), (0, 2, 2, 12), 32.770486922960444)"
7,7,"((0, 1, 1), (0, 2, 2, 12), 67.32139335511523)","((0, 2, 2), (0, 2, 2, 12), 57.79839102441546)","((0, 1, 2), (0, 2, 2, 12), 228.34458700193028)","((1, 0, 0), (0, 1, 1, 12), 3.7347896672108463)","((0, 0, 0), (1, 2, 2, 12), 53.32260634085525)","((0, 2, 2), (1, 2, 1, 12), 96.09329432548557)","((1, 0, 2), (0, 2, 2, 12), 67.40596102987489)","((1, 0, 0), (2, 1, 0, 12), 32.82501345977866)"
8,8,"((0, 0, 1), (1, 2, 2, 12), 67.92939608353612)","((0, 1, 2), (0, 2, 2, 12), 58.116739215197136)","((1, 2, 1), (0, 2, 2, 12), 229.14219536297992)","((0, 0, 0), (2, 1, 0, 12), 3.780164942185359)","((0, 2, 2), (0, 2, 2, 12), 53.86496231886865)","((0, 2, 2), (0, 2, 2, 12), 198.98352988416272)","((1, 2, 1), (0, 2, 2, 12), 67.50706816505833)","((1, 0, 1), (0, 1, 2, 12), 33.203468153637516)"
9,9,"((2, 0, 2), (0, 2, 2, 12), 68.23859234503546)","((1, 1, 0), (2, 2, 0, 12), 58.126395953847215)","((1, 1, 2), (0, 2, 2, 12), 231.39770313001938)","((0, 0, 2), (1, 1, 0, 12), 3.8766037380026708)","((2, 0, 2), (0, 2, 2, 12), 53.884019243259615)","((2, 2, 2), (0, 2, 2, 12), 201.17218775674394)","((2, 2, 1), (0, 2, 2, 12), 67.52958223283622)","((0, 0, 1), (2, 1, 0, 12), 33.27568926096664)"
10,10,"((1, 0, 1), (2, 2, 0, 12), 68.27645805005945)","((0, 1, 0), (2, 2, 2, 12), 58.23052885833835)","((0, 2, 2), (2, 2, 2, 12), 231.6972740606222)","((0, 0, 0), (0, 1, 2, 12), 3.938530412385119)","((1, 0, 0), (2, 2, 0, 12), 54.89914778530504)","((1, 2, 2), (0, 2, 2, 12), 203.2732304914002)","((2, 1, 0), (2, 2, 0, 12), 67.54733957772699)","((1, 0, 1), (2, 1, 0, 12), 33.43840417919745)"
11,11,"((1, 0, 0), (0, 2, 2, 12), 68.353320007534)","((2, 1, 2), (1, 2, 2, 12), 58.27037278123427)","((0, 1, 2), (2, 2, 2, 12), 232.55323336660405)","((0, 0, 0), (2, 0, 0, 12), 4.039330920840463)","((0, 1, 1), (0, 2, 2, 12), 54.928067179695276)","((2, 1, 2), (0, 2, 2, 12), 206.29286756016674)","((1, 1, 0), (2, 2, 2, 12), 67.60994049623329)","((2, 0, 0), (2, 1, 0, 12), 33.74822750623896)"
12,12,"((0, 0, 2), (0, 2, 2, 12), 68.37358206426092)","((1, 1, 0), (0, 2, 2, 12), 58.36533514544988)","((2, 2, 1), (0, 2, 2, 12), 232.83504559340517)","((1, 0, 1), (1, 0, 1, 12), 4.110702497316324)","((0, 0, 1), (1, 2, 2, 12), 54.98842223840428)","((0, 2, 2), (2, 2, 2, 12), 208.58135576421364)","((2, 1, 0), (0, 2, 2, 12), 67.6308818640848)","((0, 1, 1), (2, 1, 0, 12), 33.79343824947449)"
